,0,1,2,3,4,t [s]
0,0.0019801980557734335,0.9920792077730485,0.001980198057441441,0.0019801980534624383,0.0019801980602741106,0.0
1,0.001980198076965041,0.9920792076579577,0.001980198098807634,0.0019801980897350643,0.001980198076534524,100.0
2,0.615840125736234,0.3782189853253562,0.0019804912521709534,0.001980198982621596,0.0019801987036171904,200.0
3,0.3253810643646943,0.0019801994522118337,0.5873801119276649,0.0019802000820025468,0.0832784241734263,300.0
4,0.08976380893371426,0.24917168194283745,0.39481116752472145,0.04065185043517665,0.2256014911635503,400.0
5,0.0019801988785911706,0.0019801989640541797,0.18999234798045134,0.3202311431449572,0.48581611103194605,500.0
6,0.0019801984854046547,0.0019801984364647353,0.9920791558225704,0.0019801988774379472,0.0019802483781221885,600.0
7,0.001980199738292696,0.0019802002839855565,0.31775448438886833,0.41833117327303565,0.25995394231581775,700.0
8,0.0019802029605682477,0.6557871729241456,0.0019801996852622144,0.3382722169913856,0.001980207438638411,800.0
9,0.6653663446814744,0.2989542746550787,0.031715925978459424,0.00198228416366888,0.0019811705213187256,900.0
10,0.0019801993508812444,0.27355131979763614,0.22578742636424723,0.4967008415762761,0.001980212910959388,1000.0
11,0.0019801983743391446,0.9920696821374521,0.0019801992771034775,0.001989721847886002,0.0019801983632193924,1100.0
12,0.00198019852393014,0.49240899944381045,0.0019801987996544636,0.501650404724275,0.0019801985083299123,1200.0
13,0.0019801982515115337,0.0019907417489816383,0.0019801983774460235,0.9920686633780057,0.0019801982440550594,1300.0
