,code,centroid (u [m/s]),centroid (vm [m/s]),centroid (r [deg/s])
0,0,-0.0009200022093485155,0.014107529416400288,-0.0035249357474948693
1,1,4.969620719298762,0.13597946650592407,-0.08667692939244663
2,2,2.384816595358022,0.011008934796994465,-0.029398820058997032
3,3,7.259199104830929,-0.16483397089077717,0.007644217107132706
4,4,1.19608657814963,-0.1492643415563398,0.018839807852965736
5,5,3.110648776075987,0.016853097000806692,-0.004380523989898988
6,6,5.2991248869372845,0.25703915293352025,-0.10596784168212739
7,7,4.233676164246734,0.4516256501082248,-0.16123642439431912
8,8,6.225184895162104,-0.1739910236327705,0.005135832654170055
9,9,0.7561530659457254,0.09620736343369211,-0.013620970127181298
10,10,8.087615067575307,0.1587639320980213,0.0048623853211009205
11,11,-0.45951444595866603,-0.934445987030115,0.3332503770739065
12,12,-0.3259428571628619,0.06936074226806062,0.04649321266968325
13,13,1.9427350398360865,-0.23495223736811305,0.0600435949027498
14,14,1.5641401022918677,-0.11656091633624242,0.008257142857142847
15,15,4.810355239171207,0.026304685830082407,-0.005869273142550044
16,16,0.7717062629524778,0.31485332757078377,-0.15763713080168776
17,17,0.33445865372573086,0.1940621546692403,-0.029698946312092307
18,18,8.851589823019939,0.18549063837195354,-0.0014828544949026874
19,19,-0.7534784964500236,-0.46389149278877884,0.10282991202346038
20,20,6.738428449697333,-0.11460671548339862,-0.0034757281553398057
21,21,4.101249621639179,0.0529390209093434,-0.0010466941338041907
22,22,3.597786812566852,0.019551006415706583,0.0047490481135340976
23,23,-0.4498646923988581,-0.37436970139550213,0.11783886979763264
24,24,7.313804497281101,0.2844416155138293,-0.06910611303344864
25,25,2.0044503920611754,0.22862395167662,-0.04955518641565151
26,26,5.6409031035458055,-0.24173945640203376,-0.048260651629072684
27,27,0.5165977353505885,-0.17176401234893704,0.04141003122560497
28,28,0.25339857218767364,-0.1488357530164974,0.013611111111111098
29,29,4.437449856070218,-0.507559247468098,0.2487269503546099
30,30,3.4310701646060657,0.6880963080954302,-0.3366130604288499
31,31,-0.7690896486739051,0.48008212153542096,0.40197834125726356
32,32,2.721967101558579,0.08975841244508359,-0.023959165557035048
33,33,5.318315779584646,-0.16810291894404117,0.04413779830638951
34,34,4.768158258906796,0.7249976924342142,-0.24919673539518897
35,35,5.1687519514422755,0.7419014189459812,-0.24552546744036102
36,36,1.0481646473175978,0.10675148087947663,-0.027505634437683096
37,37,7.520541389112591,0.08429520330696263,0.0009233053808525493
38,38,2.4844474006095787,-0.33109432246613707,0.1320970537261698
39,39,1.5220732574166747,0.32275214728042584,-0.12021374045801524
40,40,5.971370649402921,-0.7754140286964987,0.18045206971677555
41,41,0.33575380318901005,-0.7090442016680898,0.7286915887850467
42,42,2.8701617844915535,0.4052261154122788,-0.1633918575063613
43,43,1.904215778616996,0.02676372742254209,-0.0052818035426731
44,44,0.03001972757241448,0.5672617520749347,-0.23933193668528863
45,45,5.885011301577853,0.10478858375452525,-0.008323496346261935
46,46,3.39635682644384,-0.5969281405006989,0.2544401041666666
47,47,5.584488655989108,0.8614158799652575,-0.05288127853881278
48,48,-0.6233050655437914,-0.01646764618777542,-0.008771441817338915
49,49,6.560446460218819,0.05965755156753643,-0.0013085063085063046
50,50,1.2521109681009,0.057641337998691596,-0.012145819323021733
51,51,1.260348068501552,0.8594369499032426,-0.4015913978494623
52,52,0.48841945466752384,0.5295580335740709,-0.14688095238095233
53,53,3.879391826001974,0.6309755884228934,-0.16752077562326867
54,54,3.3644717545899816,0.06540376576091457,-0.03872949872949871
55,55,2.1383654084141805,0.010965895235128772,-0.01887204697528334
56,56,0.3662709575115334,0.022326378297525224,0.010738678544914618
57,57,0.6410164350832013,0.6691100202509325,0.4022495894909688
58,58,4.618396950041005,0.28521404222693514,-0.17254531126871547
59,59,4.773742935311359,-0.15075900576907963,0.06801123224314501
60,60,0.11643428080898245,0.07891815460560443,-0.012691609153650547
61,61,-0.7063009556158019,-0.5331115853357444,0.395127504553734
62,62,-0.249872447200364,-0.7298677457106014,0.16929548563611488
63,63,-0.3897847141325615,0.8171309540595116,0.3945336787564766
