,time (JST),latitude [deg],longitude [deg],GPS quality,SOG [knot],COG [deg],psi (raw) [deg],psi (original) [deg],r [deg/m],t (original) [s],p_x (original) [m],p_y (original) [m],COG [rad],psi (original) [rad],r [deg/s],r [rad/s],U [m/s],beta [rad],beta [deg],u [m/s],vm [m/s],code,t [s],p_x [m],p_y [m],psi [rad],psi [deg]
1401,09:17:42,34.97207002,136.81266,4,3.86,254.19,350.071,260.071,0.6,1400.0,1951.0871855996647,2337.2021093340154,4.4364524256443865,4.539095238954173,0.01,0.0001745329251994,1.9857555555555555,0.1026428133097869,5.881000000000026,1.9753042256481512,-0.203465826507326,13.0,0.0,0.0,0.0,0.0,0.0
1402,09:17:43,34.97206541,136.81263888,4,3.87,254.53,350.069,260.069,0.5,1401.0,1950.5749223999164,2335.2788824363274,4.442386545101167,4.539060332369133,0.0083333333333333,0.0001454441043328,1.9909,0.0966737872679663,5.539000000000027,1.981603945664321,-0.192168188125907,13.0,1.0,1.982749507759852,-0.17297304785710543,-3.490658504023969e-05,-0.0020000000000202313
1403,09:17:44,34.97206087,136.81261769,4,3.88,254.89,350.073,260.073,0.5,1402.0,1950.0704376000213,2333.34927987785,4.448669730408346,4.539130145539212,0.0083333333333333,0.0001454441043328,1.9960444444444445,0.0904604151308658,5.182999999999988,1.987883109752805,-0.1803168493431746,13.0,2.0,3.970437971307589,-0.33718485890086414,3.4906585038463334e-05,0.0019999999999184533
1404,09:17:45,34.97205637,136.81259638,4,3.89,255.18,350.072,260.072,0.3,1403.0,1949.5703975997048,2331.408748851245,4.45373118523913,4.539112692246693,0.005,8.726646259971648e-05,2.001188888888889,0.0853815070075629,4.892000000000022,1.99389898388202,-0.1706569983522371,13.0,3.0,5.968124811832128,-0.49513407329868797,1.7453292519675756e-05,0.0009999999999846711
1405,09:17:46,34.97205187,136.81257496,4,3.9,255.41,350.061,260.061,0.0,1404.0,1949.0703576001777,2329.4582005611323,4.457745442518717,4.538920706028973,0.0,0.0,2.006333333333333,0.0811752635102562,4.651000000000001,1.9997266724559883,-0.1626858319355001,13.0,4.0,7.975678878946731,-0.6513560333437398,-0.00017453292520031027,-0.010000000000050267
1406,09:17:47,34.9720474,136.81255343,4,3.92,255.58,350.052,260.052,-0.1,1405.0,1948.5736512001367,2327.497634590169,4.460712502247108,4.538763626396294,-0.0016666666666666,-2.908882086657216e-05,2.0166222222222223,0.0780511241491863,4.471999999999997,2.010482730888824,-0.1572398675855185,13.0,5.0,9.992525779031235,-0.8025669984225889,-0.00033161255787916843,-0.019000000000014085
1407,09:17:48,34.97204293,136.81253178,4,3.94,255.72,350.039,260.039,-0.3,1406.0,1948.0769448000965,2325.52614071004,4.4631559631999,4.538536733593534,-0.005,-8.726646259971648e-05,2.026911111111111,0.0753807703936342,4.31899999999995,2.021155118955337,-0.1526454633008026,13.0,6.0,12.020136912012179,-0.9518936894009804,-0.0005585053606393942,-0.03200000000006925
1408,09:17:49,34.97203848,136.81251004,4,3.95,255.79,350.028,260.028,-0.4,1407.0,1947.58246080024,2323.54645059053,4.464377693676296,4.538344747375816,-0.0066666666666666,-0.0001163552834662,2.0320555555555555,0.07396705369952,4.238000000000022,2.026499274498516,-0.1501681434965037,13.0,7.0,14.055438319243542,-1.0976180083107039,-0.0007504915783576038,-0.04300000000000241
1409,09:17:50,34.972034,136.81248824,4,3.97,255.88,350.016,260.016,-0.4,1408.0,1947.0846432001067,2321.5612968843084,4.465948490003091,4.538135307865576,-0.0066666666666666,-0.0001163552834662,2.0423444444444447,0.0721868178624856,4.136000000000007,2.037025490991488,-0.1473023380804731,13.0,8.0,16.096696285546688,-1.2456839238095356,-0.0009599310885972656,-0.055000000000022024
1410,09:17:51,34.97202961,136.81246634,4,3.98,256.03,350.009,260.009,-0.3,1409.0,1946.596826400012,2319.567035297973,4.468566483881082,4.538013134817937,-0.005,-8.726646259971648e-05,2.0474888888888887,0.0694466509368547,3.9790000000000223,2.042553519988102,-0.1420769795134629,13.0,9.0,18.145201300946585,-1.3823283787639173,-0.0010821041362367723,-0.0620000000000165
1411,09:17:52,34.97202524,136.81244444,4,3.99,256.17,349.999,259.999,-0.3,1410.0,1946.1112320001007,2317.5727733208905,4.471009944833875,4.537838601892737,-0.005,-8.726646259971648e-05,2.052633333333333,0.0668286570588625,3.8289999999999806,2.048051437505474,-0.1370726465888557,13.0,10.0,20.193323497917717,-1.516783652872053,-0.0012566370614361944,-0.07200000000001587
1412,09:17:53,34.97202085,136.81242245,4,4.0,256.24,349.987,259.987,-0.3,1411.0,1945.6234152000056,2315.570315667901,4.47223167531027,4.537629162382498,-0.005,-8.726646259971648e-05,2.057777777777778,0.0653974870722278,3.747000000000016,2.0533789616426064,-0.1344775914402897,13.0,11.0,22.24990182075102,-1.6520148790123064,-0.0014660765716758561,-0.08400000000003549
1413,09:17:54,34.97201638,136.81240041,4,4.01,256.21,349.977,259.977,-0.3,1412.0,1945.126708799965,2313.5633057870705,4.471708076534672,4.537454629457297,-0.005,-8.726646259971648e-05,2.062922222222222,0.0657465529226257,3.766999999999964,2.058465224747269,-0.1355323335755913,13.0,12.0,24.31249700212669,-1.795217628143254,-0.0016406094968761664,-0.09400000000008575
1414,09:17:55,34.97201177,136.81237834,4,4.02,256.07,349.973,259.973,-0.2,1413.0,1944.6144456002164,2311.5535658214217,4.46926461558188,4.537384816287219,-0.0033333333333333,-5.817764173314432e-05,2.0680666666666663,0.0681202007053389,3.903000000000017,2.0632702331404773,-0.1407681882181375,13.0,13.0,26.3804638005872,-1.953273427807967,-0.0017104226669548694,-0.09800000000002444
1415,09:17:56,34.97200713,136.81235619,4,4.04,255.88,349.957,259.957,-0.4,1414.0,1944.098848800192,2309.5365409581195,4.465948490003091,4.537105563606899,-0.0066666666666666,-0.0001163552834662,2.0783555555555555,0.0711570736038087,4.076999999999996,2.073096076216652,-0.1477649284633017,100.0,14.0,28.456181189791337,-2.113356779628395,-0.0019896753472741224,-0.11400000000003362
