,time (JST),latitude [deg],longitude [deg],GPS quality,SOG [knot],COG [deg],psi (raw) [deg],psi (original) [deg],r [deg/m],t (original) [s],p_x (original) [m],p_y (original) [m],COG [rad],psi (original) [rad],r [deg/s],r [rad/s],U [m/s],beta [rad],beta [deg],u [m/s],vm [m/s],code,t [s],p_x [m],p_y [m],psi [rad],psi [deg]
4001,10:04:06,34.96458548,136.64790022,4,0.1,196.22,107.536,17.536,0.2,4012.0,3.2891519997491514,2.4013463131722994,3.424685058263273,0.3060609376297256,0.0033333333333333,5.817764173314432e-05,0.0514444444444444,-3.118624120633548,-178.68400000000003,-0.0514308751924827,0.0011814995272073,0.0,0.0,0.0,0.0,0.0,0.0
4002,10:04:07,34.96458507,136.64790004,4,0.09,198.21,107.544,17.544,0.3,4013.0,3.2435927999273417,2.3849548780169023,3.4594171103779607,0.3062005639698852,0.005,8.726646259971648e-05,0.0463,3.129968760771511,179.334,-0.0462968721256483,-0.0005381741180731,0.0,1.0,-0.048380785656704374,-0.0019024757809753927,0.0001396263401596265,0.008000000000004592
4003,10:04:08,34.96458469,136.64789979,4,0.09,201.83,107.551,17.551,0.3,4014.0,3.201367200381355,2.3621889902116657,3.5225980293001555,0.3063227370175247,0.005,8.726646259971648e-05,0.0463,3.066910014896956,175.72100000000003,-0.0461709409577748,-0.0034545927507688,0.0,2.0,-0.09550354501437798,-0.010887599881256135,0.00026179938779913314,0.014999999999999066
4004,10:04:09,34.96458428,136.64789955,4,0.09,204.82,107.562,17.562,0.3,4015.0,3.1558079997699915,2.34033373976232,3.574783373934786,0.3065147232352442,0.005,8.726646259971648e-05,0.0463,3.0149166564800445,172.742,-0.0459290128840417,-0.005849425227963,0.0,3.0,-0.14553060617165411,-0.017999975329461612,0.00045378560551861957,0.02600000000000538
4005,10:04:10,34.96458383,136.6478993,4,0.1,206.05,107.576,17.576,0.4,4016.0,3.105804000369972,2.317567853905019,3.596250923734316,0.3067590693305234,0.0066666666666666,0.0001163552834662,0.0514444444444444,2.993693452775794,171.52600000000004,-0.0508828169722129,-0.0075808839306385,0.0,4.0,-0.20007028562536514,-0.024641426974339416,0.0006981317007977994,0.04000000000000387
4006,10:04:11,34.9645834,136.64789905,4,0.1,205.99,107.581,17.581,0.3,4017.0,3.05802240036428,2.294801967385039,3.59520372618312,0.3068463357931231,0.005,8.726646259971648e-05,0.0514444444444444,2.99482791678959,171.591,-0.0508913844670722,-0.0075231543399141,0.0,5.0,-0.252490845621372,-0.031952499252029004,0.0007853981633975105,0.045000000000003565
4007,10:04:12,34.96458298,136.64789885,4,0.1,204.93,107.596,17.596,0.5,4018.0,3.011352000450529,2.2765892585894854,3.5767032361119795,0.3071081351809222,0.0083333333333333,0.0001454441043328,0.0514444444444444,3.0135902062485296,172.66600000000005,-0.0510235705661221,-0.0065670473488078,0.0,6.0,-0.3024799502975306,-0.03525680000364838,0.0010471975511966436,0.06000000000000263
4008,10:04:13,34.96458252,136.64789857,4,0.1,204.23,107.604,17.604,0.5,4019.0,2.9602368001690134,2.251091466034693,3.564485931348019,0.3072477615210817,0.0083333333333333,0.0001454441043328,0.0514444444444444,3.025947137352649,173.37400000000002,-0.0511008216121364,-0.0059360672807964,0.0,7.0,-0.3589023277969932,-0.04416839033842167,0.0011868238913561036,0.06799999999999767
4009,10:04:14,34.96458212,136.64789838,4,0.1,203.87,107.62,17.62,0.7,4020.0,2.915788800439145,2.2337893921097134,3.55820274604084,0.3075270142014009,0.0116666666666666,0.000203621746066,0.0514444444444444,3.032509575340148,173.75,-0.051138676066326,-0.0056005958951621,0.0,8.0,-0.40649793324314354,-0.04727399564274461,0.001466076571675301,0.08400000000000368
4010,10:04:15,34.96458169,136.64789816,4,0.1,204.01,107.635,17.635,0.8,4021.0,2.8680072004334534,2.2137554146712457,3.560646206993632,0.3077888135892,0.0133333333333333,0.0002327105669325,0.0514444444444444,3.030327913775155,173.625,-0.0511263357702336,-0.0057121497622922,0.0,9.0,-0.45809535543306124,-0.051980116599998905,0.0017278759594744342,0.09900000000000275
