,time (JST),latitude [deg],longitude [deg],GPS quality,SOG [knot],COG [deg],psi (raw) [deg],psi (original) [deg],r [deg/m],t (original) [s],p_x (original) [m],p_y (original) [m],COG [rad],psi (original) [rad],r [deg/s],r [rad/s],U [m/s],beta [rad],beta [deg],u [m/s],vm [m/s],code,t [s],p_x [m],p_y [m],psi [rad],psi [deg]
1001,04:47:35,35.02525615,136.82591525,4,0.89,151.81,207.123,297.123,6.2,1000.0,5613.197908799667,1928.8868213599064,2.649584337452592,5.185774633403112,0.1033333333333333,0.0018035068937274,0.4578555555555555,2.53619029595052,145.313,-0.3764823460712779,-0.2605623780397949,101.0,0.0,0.0,0.0,0.0,0.0
1002,04:47:36,35.02525244,136.82591762,4,0.89,152.08,207.215,297.215,6.0,1001.0,5612.785653600297,1929.1025923941488,2.6542967264329764,5.187380336314946,0.1,0.0017453292519943,0.4578555555555555,2.5330836098819693,145.13499999999996,-0.3756710450556516,-0.2617307312103052,101.0,1.0,-0.3799907271693316,-0.2685489450558803,0.0016057029118341504,0.09199999999996375
1003,04:47:37,35.02524874,136.82591996,4,0.9,152.26,207.313,297.313,6.0,1002.0,5612.37450960023,1929.3156325941293,2.657438319086566,5.189090758981901,0.1,0.0017453292519943,0.4629999999999999,2.5316524398953346,145.053,-0.3795128891624389,-0.2652149448269804,101.0,2.0,-0.7570443320536782,-0.5373538829616568,0.00331612557878902,0.18999999999998818
1004,04:47:38,35.02524505,136.82592229,4,0.9,152.4,207.418,297.418,6.3,1003.0,5611.964476800255,1929.5277624440864,2.6598817800393584,5.190923354696495,0.105,0.001832595714594,0.4629999999999999,2.5310415746571366,145.018,-0.3793508077732515,-0.2654467265606822,101.0,3.0,-1.1327810996350371,-0.8055848502000431,0.005148721293383396,0.2950000000000071
1005,04:47:39,35.02524128,136.82592459,4,0.9,152.64,207.53,297.53,6.5,1004.0,5611.5455544003335,1929.7371625236487,2.6640705702441445,5.192878123458728,0.1083333333333333,0.0018907733563271,0.4629999999999999,2.5288075532145835,144.88999999999996,-0.3787568479460948,-0.2662935412921964,101.0,4.0,-1.510141078433013,-1.082972335279414,0.0071034900556163905,0.4069999999999696
1006,04:47:40,35.0252375,136.82592685,4,0.9,152.81,207.643,297.643,6.6,1005.0,5611.12552080032,1929.942921763248,2.667037629972535,5.194850345513482,0.11,0.0019198621771937,0.4629999999999999,2.5278127155409464,144.83299999999994,-0.3784917417144807,-0.2666702110359138,101.0,5.0,-1.8847671995223658,-1.3630086886658432,0.009075712110369949,0.5199999999999677
1007,04:47:41,35.02523373,136.82592912,4,0.9,153.08,207.756,297.756,6.6,1006.0,5610.706598399609,1930.149591135771,2.67175001895292,5.196822567568235,0.11,0.0019198621771937,0.4629999999999999,2.525072548615315,144.67599999999993,-0.3777596007820574,-0.2677063391423158,101.0,6.0,-2.2596967678615014,-1.6416411098624484,0.011047934165123507,0.6329999999999657
1008,04:47:42,35.02522998,136.82593146,4,0.9,153.11,207.869,297.869,6.6,1007.0,5610.289898399871,1930.362631973084,2.6722736177285182,5.19879478962299,0.11,0.0019198621771937,0.4629999999999999,2.526521171894472,144.759,-0.3781470099153128,-0.267158827090007,101.0,7.0,-2.6392839326019724,-1.915390762846358,0.013020156219877954,0.7460000000000147
1009,04:47:43,35.02522622,136.82593372,4,0.91,153.5,207.998,297.998,6.9,1008.0,5609.872087200042,1930.5683910056,2.679080401811296,5.201046264358062,0.115,0.0020071286397934,0.4681444444444445,2.5219658625467667,144.49800000000002,-0.3811141673672619,-0.2718661661482653,101.0,8.0,-3.0128966721925727,-2.193449208105699,0.015271630954950766,0.8750000000000219
1010,04:47:44,35.02522242,136.82593597,4,0.91,153.52,208.114,298.114,6.7,1009.0,5609.449831199846,1930.7732402758847,2.679429467661695,5.203070846290375,0.1116666666666666,0.0019489509980603,0.4681444444444445,2.52364137862868,144.59399999999997,-0.3815691483265462,-0.2712272219183608,101.0,9.0,-3.3877260906033646,-2.4758784210631815,0.01729621288726335,0.990999999999974
