,time (JST),latitude [deg],longitude [deg],GPS quality,SOG [knot],COG [deg],psi (raw) [deg],psi (original) [deg],r [deg/m],t (original) [s],p_x (original) [m],p_y (original) [m],COG [rad],psi (original) [rad],r [deg/s],r [rad/s],U [m/s],beta [rad],beta [deg],u [m/s],vm [m/s],code,t [s],p_x [m],p_y [m],psi [rad],psi [deg]
3601,06:57:28,35.05518069,136.8797656,4,2.71,32.62,301.833,31.833,5.4,3600.0,-395.34273600032697,-344.2701337829848,0.5693264020005503,0.5555906607873549,0.09,0.0015707963267948,1.3941444444444444,-0.0137357412131954,-0.7870000000000033,1.3940129294870922,0.0191490051471094,96.0,0.0,0.0,0.0,0.0,0.0
3602,06:57:29,35.0551912,136.87977387,4,2.71,32.69,301.909,31.909,5.4,3601.0,-394.1748648000226,-343.51786612452184,0.5705481324769462,0.5569171110188706,0.09,0.0015707963267948,1.3941444444444444,-0.0136310214580755,-0.7809999999999933,1.3940149271226872,0.0190030243497702,96.0,1.0,1.388990554354799,0.023130291455709107,0.0013264502315157856,0.07600000000000545
3603,06:57:30,35.05520171,136.87978212,4,2.7,32.77,301.98,31.98,5.3,3602.0,-393.00699360050777,-342.7674177825198,0.5719443958785418,0.5581562947877866,0.0883333333333333,0.0015417075059283,1.3890000000000002,-0.0137881010907552,-0.7900000000000017,1.3888679694940744,0.0191510655945593,96.0,2.0,2.777021518284016,0.0447149119891761,0.002565634000431749,0.14700000000000485
3604,06:57:31,35.05521218,136.8797904,4,2.7,32.83,302.048,32.048,5.2,3603.0,-391.8435672005711,-342.0142407936,0.5729915934297384,0.5593431186791428,0.0866666666666666,0.0015126186850617,1.3890000000000002,-0.0136484747505956,-0.7819999999999971,1.3888706299489169,0.018957142856964,96.0,3.0,4.162715440923831,0.07096214930972056,0.003752457891787908,0.21500000000000571
3605,06:57:32,35.05522262,136.87979868,4,2.7,32.96,302.117,32.117,5.1,3604.0,-390.68347440012064,-341.2610639630268,0.5752605214573311,0.5605473958630188,0.0849999999999999,0.0014835298641951,1.3890000000000002,-0.0147131255943122,-0.8430000000000035,1.3888496600851408,0.0204357941218295,96.0,4.0,5.5455770904329595,0.09896754318550594,0.004956735075663965,0.28400000000000397
3606,06:57:33,35.05523304,136.87980696,4,2.69,33.02,302.19,32.19,5.1,3605.0,-389.525604000644,-340.50788727029806,0.5763077190085276,0.5618214862169747,0.0849999999999999,0.0014835298641951,1.3838555555555556,-0.0144862327915529,-0.8299999999999993,1.3837103563998454,0.0200461525931668,96.0,5.0,6.92655053971065,0.1281450147009986,0.006230825429619835,0.35700000000000454
3607,06:57:34,35.05524343,136.8798152,4,2.69,33.06,302.262,32.262,5.1,3606.0,-388.3710672006534,-339.75834916919536,0.5770058507093254,0.5630781232784106,0.0849999999999999,0.0014835298641951,1.3838555555555556,-0.0139277274309148,-0.7980000000000064,1.3837213364737857,0.0192733398552435,96.0,6.0,8.302772641648641,0.15598946970812078,0.007487462491055696,0.4290000000000013
3608,06:57:35,35.05525382,136.87982349,4,2.69,33.13,302.336,32.336,5.2,3607.0,-387.2165304006626,-339.0042631224084,0.5782275811857214,0.5643696669248863,0.0866666666666666,0.0015126186850617,1.3838555555555556,-0.013857914260835,-0.7940000000000041,1.383722678634693,0.0191767378353477,96.0,7.0,9.681393535758348,0.1876978095561368,0.008779006137531464,0.5029999999999992
3609,06:57:36,35.0552642,136.87983182,4,2.68,33.18,302.404,32.404,5.1,3608.0,-386.0631047999744,-338.24653876827915,0.5791002458117185,0.5655564908162426,0.0849999999999999,0.0014835298641951,1.3787111111111112,-0.0135437549954758,-0.7759999999999937,1.3785846622800395,0.0186723546309428,96.0,8.0,11.060989374895486,0.22308331222361577,0.009965830028887734,0.5710000000000065
3610,06:57:37,35.05527458,136.87984002,4,2.68,33.22,302.481,32.481,5.2,3609.0,-384.9096792000756,-337.500639399807,0.5797983775125163,0.5669003943402782,0.0866666666666666,0.0015126186850617,1.3787111111111112,-0.0128979831722381,-0.739000000000001,1.378596432910158,0.017782099668586,96.0,9.0,12.434348181305584,0.24842243700882438,0.011309733552923307,0.6480000000000029
