,time (JST),latitude [deg],longitude [deg],GPS quality,SOG [knot],COG [deg],psi (raw) [deg],psi (original) [deg],r [deg/m],t (original) [s],p_x (original) [m],p_y (original) [m],COG [rad],psi (original) [rad],r [deg/s],r [rad/s],U [m/s],beta [rad],beta [deg],u [m/s],vm [m/s],code,t [s],p_x [m],p_y [m],psi [rad],psi [deg]
4902,15:37:53,35.034098,136.86068517,5,0.835,20.32,226.4,226.4,-9.3,4912.0,-203.4973896001873,-346.63817726930307,0.3546509040052478,3.951425426515162,-0.155,-0.0027052603405912,0.429561111111111,-2.686410784669672,-153.92,-0.3858236664783219,0.1888460922662603,115.0,0.0,0.0,0.0,0.0,0.0
4903,15:37:54,35.03410067,136.86068683,2,0.814,20.5,226.3,226.3,-9.4,4913.0,-203.2006992001152,-346.4871361666314,0.3577924966588375,3.949680097263168,-0.1566666666666666,-0.0027343491614577,0.4187577777777777,-2.691297706575256,-154.2,-0.3770154880040016,0.182256407992935,115.0,1.0,-0.31398321480379204,0.11069394298105643,-0.0017453292519937769,-0.09999999999996834
4904,15:37:55,35.03410333,136.860688,2,0.819,20.95,226.1,226.1,-9.6,4914.0,-202.90512000013504,-346.3806778326881,0.365646478292812,3.946189438759179,-0.16,-0.0027925268031909,0.42133,-2.702642346713219,-154.85,-0.3813871872729026,0.179060834031521,115.0,2.0,-0.5949145376891067,0.2513283347520473,-0.005235987755982663,-0.29999999999998134
4905,15:37:56,35.03410583,136.8606895,5,0.912,21.35,226.0,226.0,-9.5,4915.0,-202.6273200000469,-346.2441947282977,0.3726277953007894,3.944444109507185,-0.1583333333333333,-0.0027634379823243,0.4691733333333334,-2.7113689929731906,-155.35,-0.4264187354079319,0.1956800419159075,115.0,3.0,-0.8853280707608102,0.35838186174588965,-0.006981317007976884,-0.3999999999999751
4906,15:37:57,35.03410867,136.86069117,5,0.829,21.97,225.8,225.8,-9.4,4916.0,-202.3117391999909,-346.0922434227413,0.3834488366631541,3.940953451003197,-0.1566666666666666,-0.0027343491614577,0.4264744444444444,-2.725680692839544,-156.17,-0.3901167502819687,0.1723060443328486,115.0,4.0,-1.2129976178997828,0.4821280071485157,-0.010471975511964882,-0.5999999999999373
4907,15:37:58,35.034113,136.860693,5,0.841,22.44,225.6,225.6,-9.3,4917.0,-201.83058960044767,-345.9257313362128,0.3916518841475275,3.937462792499207,-0.155,-0.0027052603405912,0.4326477777777777,-2.7373743988279067,-156.84,-0.3977807533232349,0.1701604298938184,12.0,5.0,-1.6653911528586054,0.7157330191413511,-0.013962634015954656,-0.8000000000000012
4908,15:37:59,35.0341165,136.8606945,5,0.838,22.73,225.5,225.5,-9.1,4918.0,-201.4416695998506,-345.7892461378963,0.3967133389783111,3.935717463247213,-0.1516666666666666,-0.002647082698858,0.4311044444444444,-2.744181182910685,-157.23000000000005,-0.3975067195879699,0.166851580460492,12.0,6.0,-2.0324367263435175,0.9032550797343282,-0.015707963267948877,-0.8999999999999949
4909,15:38:00,35.03411883,136.8606965,5,0.888,23.26,225.3,225.3,-8.8,4919.0,-201.18276000053584,-345.6072708119794,0.4059635840138811,3.932226804743225,-0.1466666666666666,-0.0025598162362583,0.4568266666666666,-2.756922086450244,-157.96,-0.4234427349846408,0.1714259419297588,12.0,7.0,-2.3427672565967073,0.9652563849841401,-0.019198621771936875,-1.099999999999957
4910,15:38:01,35.034122,136.8606985,5,0.782,23.73,225.2,225.2,-8.9,4920.0,-200.8305095998145,-345.4252937139363,0.4141666314982544,3.93048147549123,-0.1483333333333333,-0.0025889050571249,0.4022955555555556,-2.766870463186611,-158.53,-0.3743800014514304,0.1472458098995691,12.0,8.0,-2.7174687110517226,1.0948512500437926,-0.020943951023931984,-1.2000000000000017
4911,15:38:02,35.03412417,136.8607005,5,0.812,24.39,225.0,225.0,-9.2,4921.0,-200.5893792003917,-345.24331874152523,0.4256858045614169,3.9269908169872414,-0.1533333333333333,-0.0026761715197246,0.4177288888888889,-2.7818802947537624,-159.39000000000004,-0.3909934519670582,0.147042664323078,12.0,9.0,-3.0155381015884206,1.143977602797519,-0.024434609527920426,-1.3999999999999893
