,time (JST),latitude [deg],longitude [deg],GPS quality,SOG [knot],COG [deg],psi (raw) [deg],psi (original) [deg],r [deg/m],t (original) [s],p_x (original) [m],p_y (original) [m],COG [rad],psi (original) [rad],r [deg/s],r [rad/s],U [m/s],beta [rad],beta [deg],u [m/s],vm [m/s],code,t [s],p_x [m],p_y [m],psi [rad],psi [deg]
501,17:55:32,35.05875602,136.88287572,4,0.58,219.39,308.038,38.038,8.5,500.0,4465.259414399919,3867.414496687375,3.82907784595036,0.663888340873603,0.1416666666666666,0.0024725497736586,0.2983777777777777,3.1179958021028304,178.64800000000002,-0.2982947115581353,-0.0070401227300223,12.0,0.0,0.0,0.0,0.0,0.0
502,17:55:33,35.05875395,136.88287356,4,0.58,219.74,308.192,38.192,8.5,501.0,4465.029396000626,3867.218026427917,3.83518649833234,0.6665761479216743,0.1416666666666666,0.0024725497736586,0.2983777777777777,3.1145749567689207,178.452,-0.2982688830861958,-0.0080604996196354,12.0,1.0,-0.302224834851215,-0.013006769930505702,0.0026878070480712557,0.15399999999999933
503,17:55:34,35.05875189,136.88287135,4,0.59,220.2,308.35,38.35,8.7,502.0,4464.800488800636,3867.017006867593,3.8432150128915135,0.6693337681398254,0.145,0.0025307274153917,0.3035222222222222,3.1093040624278987,178.15000000000003,-0.303364016947957,-0.0097986021409007,12.0,2.0,-0.6063776928825445,-0.030281282692417366,0.005445427266222325,0.31200000000000094
504,17:55:35,35.0587498,136.88286917,4,0.59,220.56,308.495,38.495,8.7,503.0,4464.568248000369,3866.8187174448913,3.849498198198693,0.6718644955552171,0.145,0.0025307274153917,0.3035222222222222,3.1055516045361107,177.93500000000003,-0.3033251123695258,-0.0109368911821674,12.0,3.0,-0.9114738349863403,-0.04335142184962082,0.007976154681614056,0.4569999999999983
505,17:55:36,35.05874768,136.88286703,4,0.59,220.56,308.638,38.638,8.8,504.0,4464.332673600616,3866.624067974477,3.849498198198693,0.674360316385569,0.1466666666666666,0.0025598162362583,0.3035222222222222,3.1080474253664625,178.07800000000003,-0.3033514641380018,-0.0101798127707059,12.0,4.0,-1.2169526473277756,-0.051500615805413874,0.010471975511965992,0.6000000000000009
506,17:55:37,35.05874557,136.88286485,4,0.59,219.69,308.788,38.788,9.0,505.0,4464.098210400166,3866.4257790167385,3.834313833706344,0.6769783102635605,0.15,0.0026179938779914,0.3035222222222222,3.1258497837368044,179.098,-0.303484610836175,-0.0047781134699186,12.0,5.0,-1.5237988703308076,-0.06320098139280173,0.013089969389957434,0.7499999999999979
507,17:55:38,35.05874331,136.88286277,4,0.6,218.68,308.935,38.935,9.1,506.0,4463.847079199916,3866.236591718957,3.8166860082612,0.6795439442639922,0.1516666666666666,0.002647082698858,0.3086666666666667,-3.137142063997208,-179.745,-0.308663609675981,0.0013737441191047,12.0,6.0,-1.8381645506644195,-0.05746230478290926,0.015655603390389183,0.8970000000000027
508,17:55:39,35.05874104,136.88286078,4,0.6,218.0,309.074,39.074,9.0,507.0,4463.594836800363,3866.055592953597,3.8048177693476384,0.6819699519242642,0.15,0.0026179938779914,0.3086666666666667,-3.122847817423374,-178.926,-0.3086124403235535,0.0057855672714271,12.0,7.0,-2.148359771675508,-0.04458961834972541,0.018081611050661195,1.0359999999999967
509,17:55:40,35.05873881,136.88285869,4,0.6,217.98,309.218,39.218,8.9,508.0,4463.347039200389,3865.8654951231615,3.80446870349724,0.6844832260471362,0.1483333333333333,0.0025889050571249,0.3086666666666667,-3.1199854774501032,-178.762,-0.308594615857223,0.0066688960888647,12.0,8.0,-2.460660956527847,-0.04162219036147907,0.02059488517353314,1.1800000000000028
510,17:55:41,35.05873662,136.88285646,4,0.61,218.11,309.364,39.364,8.9,509.0,4463.1036863999925,3865.6626589803527,3.806737631524833,0.6870314067550478,0.1483333333333333,0.0025889050571249,0.3138111111111111,-3.119706224769785,-178.74600000000004,-0.3137359538763465,0.0068676562296829,12.0,9.0,-2.777310551065115,-0.051426300205725584,0.02314306588144477,1.3259999999999976
511,17:55:42,35.05873436,136.88285435,4,0.61,217.9,309.51,39.51,9.0,510.0,4462.852555200532,3865.470742225726,3.803072440095644,0.6895795874629596,0.15,0.0026179938779914,0.3138111111111111,-3.1134928526326844,-178.39,-0.313687226822457,0.0088168693551918,12.0,10.0,-3.093358078327255,-0.04783735045691784,0.02569124658935651,1.4719999999999989
512,17:55:43,35.05873208,136.88285225,4,0.61,217.86,309.66,39.66,9.1,511.0,4462.599201600097,3865.279735753076,3.802374308394848,0.692197581340951,0.1516666666666666,0.002647082698858,0.3138111111111111,-3.110176727053896,-178.20000000000002,-0.313656264271215,0.0098570452071508,12.0,11.0,-3.41059507245492,-0.042162052716167464,0.02830924046734795,1.621999999999996
513,17:55:44,35.05872981,136.88285011,4,0.61,217.77,309.82,39.82,9.3,512.0,4462.346959200545,3865.0850897877954,3.800803512068052,0.6949901081441421,0.155,0.0027052603405912,0.3138111111111111,-3.10581340392391,-177.95000000000002,-0.3136102691527695,0.0112255306652982,12.0,12.0,-3.7291994792701173,-0.040037931758905465,0.031101767270539038,1.782000000000005
514,17:55:45,35.05872752,136.88284799,4,0.62,217.43,309.98,39.98,9.5,513.0,4462.092494400019,3864.892263915021,3.794869392611271,0.697782634947333,0.1583333333333333,0.0027634379823243,0.3189555555555555,-3.097086757663938,-177.45000000000002,-0.3186397181353425,0.014190716908689,12.0,13.0,-4.048432742287423,-0.03511089398254397,0.0338942940737299,1.9420000000000013
515,17:55:46,35.05872521,136.88284587,4,0.62,217.27,310.141,40.141,9.6,514.0,4461.835807200098,3864.699438511293,3.79207686580808,0.7005926150430438,0.16,0.0027925268031909,0.3189555555555555,-3.091484250765036,-177.12900000000002,-0.3185552142299038,0.0159756660797967,12.0,14.0,-4.369416083067643,-0.02881407990576834,0.036704274169440776,2.1030000000000015
516,17:55:47,35.0587229,136.88284376,4,0.62,217.22,310.302,40.302,9.6,515.0,4461.579120000179,3864.50752291136,3.7912042011820826,0.7034025951387547,0.16,0.0027925268031909,0.3189555555555555,-3.087801606043328,-176.918,-0.3184942215604172,0.0171486807765769,12.0,15.0,-4.689838817334328,-0.021800702306185915,0.03951425426515165,2.2640000000000016
517,17:55:48,35.05872054,136.88284159,4,0.63,217.1,310.466,40.466,9.6,516.0,4461.316876800588,3864.310149623175,3.7891098060796895,0.7062649351120254,0.16,0.0027925268031909,0.3241,-3.082844870967664,-176.634,-0.3235408773530709,0.0190292060161514,12.0,16.0,-5.018000409493413,-0.0156622943723983,0.04237659423842233,2.4280000000000004
518,17:55:49,35.05871818,136.88283944,4,0.63,217.13,310.627,40.627,9.5,517.0,4461.054633600207,3864.1145959482974,3.789633404855288,0.7090749152077364,0.1583333333333333,0.0027634379823243,0.3241,-3.080558489647552,-176.503,-0.3234965237088093,0.0197688934519812,12.0,17.0,-5.345040785726567,-0.008090754402087619,0.04518657433413331,2.589000000000007
