,time (JST),latitude [deg],longitude [deg],GPS quality,SOG [knot],COG [deg],psi (raw) [deg],psi (original) [deg],r [deg/m],t (original) [s],p_x (original) [m],p_y (original) [m],COG [rad],psi (original) [rad],r [deg/s],r [rad/s],U [m/s],beta [rad],beta [deg],u [m/s],vm [m/s],code,t [s],p_x [m],p_y [m],psi [rad],psi [deg]
2069,01:23:57,35.022806,136.84676483,4,8.758,-139.8,220.0,220.0,0.0,2068.0,3379.8625896001467,2610.436429112454,-2.4399702942880728,3.839724354387525,0.0,0.0,4.505504444444444,-0.0034906585039886,-0.2000000000000016,4.505476995369541,0.0157271454652969,88.0,0.0,0.0,0.0,0.0,0.0
2069,01:23:57,35.022806,136.84676483,4,8.758,-139.77,220.0,220.0,-0.1,2068.0,3379.8625896001467,2610.436429112454,-2.4394466955124745,3.839724354387525,-0.0016666666666666,-2.908882086657216e-05,4.505504444444444,-0.0040142572795869,-0.2299999999999997,4.505468143054773,0.0180862054399238,88.0,1.0,0.0,0.0,0.0,0.0
2071,01:23:59,35.02274417,136.846701,4,8.772,-139.75,220.0,220.0,-0.2,2070.0,3372.9920400001547,2604.627880278009,-2.439097629662076,3.839724354387525,-0.0033333333333333,-5.817764173314432e-05,4.512706666666666,-0.0043633231299857,-0.2499999999999984,4.512663708951664,0.0196903348980042,88.0,2.0,8.996809563287654,0.03330240260010697,0.0,0.0
2072,01:24:00,35.02271317,136.846669,4,8.778,-139.69,220.0,220.0,-0.4,2071.0,3369.547320000167,2601.715869225517,-2.4380504321108787,3.839724354387525,-0.0066666666666666,-0.0001163552834662,4.515793333333334,-0.0054105206811832,-0.3100000000000456,4.515727236428062,0.0244326740156086,88.0,3.0,13.507422801191034,0.049808952831025266,0.0,0.0
2073,01:24:01,35.02268217,136.84663683,4,8.785,-139.61,220.0,220.0,-0.5,2072.0,3366.10260000018,2598.7883843867494,-2.436654168709284,3.839724354387525,-0.0083333333333333,-0.0001454441043328,4.519394444444444,-0.0068067840827777,-0.3899999999999897,4.519289747857493,0.030762304618851,88.0,4.0,18.02798239718711,0.07816911105284952,0.0,0.0
2074,01:24:02,35.02265117,136.8466045,4,8.805,-139.57,220.0,220.0,-0.5,2073.0,3362.6578800001907,2595.846335907428,-2.4359560370084856,3.839724354387525,-0.0083333333333333,-0.0001454441043328,4.529683333333333,-0.0075049157835762,-0.4300000000000381,4.529555769531522,0.0339945728238067,88.0,5.0,22.5579033208844,0.11768566519121748,0.0,0.0
2074,01:24:02,35.02265117,136.8466045,4,8.815,-139.54,220.0,220.0,-0.5,2073.0,3362.6578800001907,2595.846335907428,-2.435432438232888,3.839724354387525,-0.0083333333333333,-0.0001454441043328,4.534827777777777,-0.0080285145591736,-0.4599999999999855,4.534681627761414,0.0364075397138822,88.0,6.0,22.5579033208844,0.11768566519121748,0.0,0.0
2076,01:24:04,35.022589,136.84654,4,8.833,-139.52,220.0,220.0,-0.6,2075.0,3355.749549600231,2589.97680082386,-2.435083372382489,3.839724354387525,-0.01,-0.0001745329251994,4.5440877777777775,-0.0083775804095725,-0.4799999999999841,4.54392831791492,0.0380680154495061,88.0,7.0,31.622855861341492,0.1734212149357024,0.0,0.0
2077,01:24:05,35.022558,136.8465075,4,8.818,-139.48,220.0,220.0,-0.6,2076.0,3352.304829599454,2587.019276301304,-2.434385240681691,3.839724354387525,-0.01,-0.0001745329251994,4.536371111111111,-0.0090757121103701,-0.5199999999999817,4.536184285237452,0.0411702330360781,88.0,8.0,36.16272459448042,0.2247931054885548,0.0,0.0
2077,01:24:05,35.022558,136.8465075,4,8.818,-139.48,220.0,220.0,-0.5,2076.0,3352.304829599454,2587.019276301304,-2.434385240681691,3.839724354387525,-0.0083333333333333,-0.0001454441043328,4.536371111111111,-0.0090757121103701,-0.5199999999999817,4.536184285237452,0.0411702330360781,88.0,9.0,36.16272459448042,0.2247931054885548,0.0,0.0
