,time (JST),latitude [deg],longitude [deg],GPS quality,SOG [knot],COG [deg],psi (raw) [deg],psi (original) [deg],r [deg/m],t (original) [s],p_x (original) [m],p_y (original) [m],COG [rad],psi (original) [rad],r [deg/s],r [rad/s],U [m/s],beta [rad],beta [deg],u [m/s],vm [m/s],code,t [s],p_x [m],p_y [m],psi [rad],psi [deg]
501,20:35:22,35.05103794,136.87986194,4,1.28,226.31,324.471,54.471,18.6,500.0,2895.632743199973,3077.7902789614977,3.949854630188367,0.9506982968538312,0.31,0.0054105206811824,0.6584888888888889,-2.999156333334536,-171.839,-0.6518204285693233,0.0934759096763823,120.0,0.0,0.0,0.0,0.0,0.0
502,20:35:23,35.05103381,136.87985654,4,1.29,226.7,324.791,54.791,18.6,501.0,2895.1738175999008,3077.2990546346914,3.956661414271145,0.9562833504602132,0.31,0.0054105206811824,0.6636333333333333,-3.000378063810932,-171.90900000000002,-0.6570273799502746,0.0934035497547526,120.0,1.0,-0.6664574390474081,0.08802572116356061,0.005585053606381951,0.32000000000000556
503,20:35:24,35.05102971,136.87985113,4,1.3,226.97,325.114,55.114,18.7,502.0,2894.718225600103,3076.806919902965,3.9613738032515298,0.9619207639441548,0.3116666666666666,0.0054396095020489,0.6687777777777778,-2.999453039307375,-171.856,-0.6620332618435989,0.0947400457151437,120.0,2.0,-1.3317185802561025,0.17280943686930283,0.011222467090323596,0.6430000000000032
504,20:35:25,35.05102565,136.87984571,4,1.3,227.22,325.445,55.445,19.0,503.0,2894.267078399884,3076.3138745716183,3.965737126381516,0.967697803768256,0.3166666666666666,0.0055268759646487,0.6687777777777778,-2.99803932261326,-171.77500000000003,-0.6618986647359467,0.0956758782042449,120.0,3.0,-1.9951378475577273,0.2534467160955033,0.016999506914424756,0.9739999999999992
505,20:35:26,35.05102155,136.87984023,4,1.31,227.49,325.759,55.759,19.0,504.0,2893.8114864000872,3075.8153710568004,3.9704495153619006,0.9731781376195182,0.3166666666666666,0.0055268759646487,0.6739222222222222,-2.9972713777423823,-171.73100000000002,-0.6669159572753272,0.0969240297164347,120.0,4.0,-2.6655820413358864,0.3345294367823286,0.022479840765686987,1.2880000000000014
506,20:35:27,35.05101738,136.87983479,4,1.31,227.6,326.077,56.077,19.3,505.0,2893.348115999646,3075.320508108635,3.972369377539094,0.97872828464086,0.3216666666666666,0.0056141424272484,0.6739222222222222,-2.9936410928982338,-171.523,-0.6665597015848559,0.0993444806118895,120.0,5.0,-3.3375836085632065,0.42405797478158225,0.02802998778702881,1.605999999999993
507,20:35:28,35.05101324,136.87982925,4,1.32,227.7,326.393,56.393,19.4,506.0,2892.8880792002706,3074.816546383841,3.974114706791088,0.9842435250771624,0.3233333333333333,0.0056432312481149,0.6790666666666667,-2.9898711817139256,-171.307,-0.6712657928747457,0.1026341711810294,120.0,6.0,-4.015052750388197,0.5055861215266106,0.03354522822333117,1.922000000000009
508,20:35:29,35.05100909,136.87982361,4,1.32,227.83,326.723,56.723,19.4,507.0,2892.4269312000138,3074.303486630153,3.9763836348186814,0.9900031116087435,0.3233333333333333,0.0056432312481149,0.6790666666666667,-2.986380523209938,-171.10700000000003,-0.6709034431789386,0.104976700788425,120.0,7.0,-4.700571799115142,0.5827315868983138,0.03930481475491232,2.252000000000001
509,20:35:30,35.05100495,136.87981798,4,1.33,228.0,327.04,57.04,19.2,508.0,2891.966894399849,3073.7913364877168,3.979350694547072,0.9955358053375656,0.32,0.0055850536063818,0.6842111111111112,-2.9838148892095058,-170.96,-0.6757124483033995,0.107505961582263,120.0,8.0,-5.384704851677452,0.6595013224407631,0.044837508483734356,2.5690000000000017
510,20:35:31,35.05100078,136.87981228,4,1.34,228.15,327.366,57.366,19.2,509.0,2891.503524000198,3073.272818143437,3.981968688425063,1.0012255786990671,0.32,0.0055850536063818,0.6893555555555556,-2.980743109725996,-170.784,-0.6804570640559408,0.1104050087255018,120.0,9.0,-6.07595768825038,0.7352833556509792,0.050527281845235916,2.8950000000000045
