,time (JST),latitude [deg],longitude [deg],GPS quality,SOG [knot],COG [deg],psi (raw) [deg],psi (original) [deg],r [deg/m],t (original) [s],p_x (original) [m],p_y (original) [m],COG [rad],psi (original) [rad],r [deg/s],r [rad/s],U [m/s],beta [rad],beta [deg],u [m/s],vm [m/s],code,t [s],p_x [m],p_y [m],psi [rad],psi [deg]
1,18:29:44,34.7069661,137.30812197,4,0.0,340.0,90.132,180.132,0.2,0.0,-2385.118571999458,6692.676680065461,5.934119456780721,3.143896488202426,0.0033333333333333,5.817764173314432e-05,0.0,-2.790222968578295,-159.86800000000002,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,18:29:45,34.70696609,137.30812201,4,0.0,339.56,90.139,180.139,0.4,1.0,-2385.119683199551,6692.680333955372,5.926440008071945,3.1440186612500653,0.0066666666666666,0.0001163552834662,0.0,-2.78242134682188,-159.421,-0.0,0.0,0.0,1.0,0.001102779193888043,-0.0036564402324955757,0.00012217304763950665,0.006999999999994476
3,18:29:46,34.70696609,137.308122,4,0.0,333.62,90.145,180.145,0.5,2.0,-2385.119683199551,6692.679420583641,5.822767450503482,3.144123381005185,0.0083333333333333,0.0001454441043328,0.0,-2.678644069498297,-153.475,-0.0,0.0,0.0,2.0,0.0011048834494331754,-0.0027430709260765824,0.00022689280275933754,0.01300000000000428
4,18:29:47,34.70696612,137.30812189,4,0.0,342.96,90.143,180.143,0.4,3.0,-2385.116349600064,6692.669372282038,5.985781202639752,3.144088474420145,0.0066666666666666,0.0001163552834662,0.0,-2.8416927282196074,-162.817,-0.0,0.0,0.0,3.0,-0.002205557586399234,0.007312884065662982,0.00019198621771909785,0.010999999999984049
5,18:29:48,34.70696607,137.30812195,4,0.0,329.74,90.142,180.142,0.3,4.0,-2385.121905599736,6692.674854531059,5.755048675526102,3.1440710211276253,0.005,8.726646259971648e-05,0.0,-2.610977654398477,-149.59799999999998,-0.0,0.0,0.0,4.0,0.003337797156810623,0.0018178495005256943,0.0001745329251994221,0.009999999999999377
6,18:29:49,34.70696607,137.30812198,4,0.0,337.67,90.14,180.14,0.3,5.0,-2385.121905599734,6692.677594646231,5.893453285209253,3.144036114542585,0.005,8.726646259971648e-05,0.0,-2.749417170666668,-157.53000000000003,-0.0,0.0,0.0,5.0,0.0033314843884002434,-0.0009222583996277563,0.0001396263401591824,0.007999999999979147
7,18:29:50,34.70696607,137.30812196,4,0.0,347.67,90.131,180.131,0.2,6.0,-2385.121905599736,6692.675767902785,6.0679862104086855,3.1438790349099057,0.0033333333333333,5.817764173314432e-05,0.0,-2.92410717549878,-167.539,-0.0,0.0,0.0,6.0,0.0033356929012759674,0.0009044801986541627,-1.7453292520119845e-05,-0.0010000000000101156
8,18:29:51,34.70696607,137.30812195,4,0.0,356.7,90.128,180.128,0.2,7.0,-2385.121905599736,6692.674854531059,6.225589441863773,3.143826675032346,0.0033333333333333,5.817764173314432e-05,0.0,-3.081762766831428,-176.572,-0.0,0.0,0.0,7.0,0.003337797156810623,0.0018178495005256943,-6.981317008003529e-05,-0.004000000000015018
9,18:29:52,34.70696608,137.30812196,4,0.0,351.71,90.123,180.123,-0.0,8.0,-2385.120794399644,6692.67576749718,6.138497512189256,3.143739408569746,-0.0,-0.0,0.0,-2.9947581036195103,-171.58700000000002,-0.0,0.0,0.0,8.0,0.0022244966930546253,0.000907445822078888,-0.00015707963267974634,-0.009000000000014706
10,18:29:53,34.70696612,137.30812201,4,0.0,347.3,90.114,180.114,-0.0,9.0,-2385.116349600065,6692.680332734944,6.061528492176307,3.143582328937067,-0.0,-0.0,0.0,-2.91794616323924,-167.186,-0.0,0.0,0.0,9.0,-0.002230808633927735,-0.003647539753353661,-0.0003141592653590486,-0.018000000000003968
