,time (JST),latitude [deg],longitude [deg],GPS quality,SOG [knot],COG [deg],psi (raw) [deg],psi (original) [deg],r [deg/m],t (original) [s],p_x (original) [m],p_y (original) [m],COG [rad],psi (original) [rad],r [deg/s],r [rad/s],U [m/s],beta [rad],beta [deg],u [m/s],vm [m/s],code,t [s],p_x [m],p_y [m],psi [rad],psi [deg]
4201,07:07:28,35.05824958,136.88258278,4,0.61,39.94,315.257,45.257,2.1,4200.0,-54.32767920015522,-88.01562347933803,0.6970845032465351,0.7898836595750737,0.035,0.000610865238198,0.3138111111111111,0.0927991563285385,5.317000000000001,0.3124608595528557,-0.0290796269625432,56.0,0.0,0.0,0.0,0.0,0.0
4202,07:07:29,35.05825174,136.88258497,4,0.61,39.93,315.284,45.284,1.9,4201.0,-54.087660000034816,-87.81642197818384,0.6969099703213358,0.7903548984731121,0.0316666666666666,0.0005526875964648,0.3138111111111111,0.0934449281517763,5.353999999999994,0.3124420155990318,-0.0292813993040719,56.0,1.0,0.31044334989790945,-0.030255263883904066,0.00047123889803846186,0.026999999999999594
4203,07:07:30,35.05825394,136.88258716,4,0.61,39.86,315.314,45.314,1.8,4202.0,-53.84319600033621,-87.61722046297655,0.6956882398449398,0.7908784972487105,0.03,0.0005235987755982,0.3138111111111111,0.0951902574037707,5.454000000000001,0.3123904340659508,-0.0298266686184851,56.0,2.0,0.6240155284489861,-0.06366753181433188,0.0009948376736368392,0.05700000000000409
4204,07:07:31,35.05825612,136.88258934,4,0.61,39.56,315.345,45.345,1.8,4203.0,-53.60095440003192,-87.41892855669364,0.6904522520889568,0.7914195493168287,0.03,0.0005235987755982,0.3138111111111111,0.1009672972278719,5.784999999999997,0.3122129122977539,-0.0316308528393584,56.0,3.0,0.9353772287543796,-0.09614159220452023,0.0015358897417550033,0.08799999999999962
4205,07:07:32,35.0582583,136.88259148,4,0.61,39.12,315.37,45.37,1.7,4204.0,-53.35871280051728,-87.22427501339519,0.6827728033801816,0.7918558816298272,0.0283333333333333,0.0004945099547317,0.3138111111111111,0.1090830782496455,6.249999999999999,0.3119459240045886,-0.0341636349604892,56.0,4.0,1.2441547033989244,-0.13117679744426347,0.0019722220547535585,0.11299999999999806
4206,07:07:33,35.05826052,136.88259359,4,0.61,38.81,315.398,45.398,1.8,4205.0,-53.112026400634704,-87.03235022746514,0.6773622826989993,0.7923445738203858,0.03,0.0005235987755982,0.3138111111111111,0.1149822911213864,6.588000000000004,0.3117389586639617,-0.0360032652394036,56.0,5.0,1.5541228390039725,-0.1712898657742915,0.00246091424531214,0.14100000000000776
4207,07:07:34,35.05826275,136.88259572,4,0.61,38.51,315.42,45.42,1.7,4206.0,-52.86422880066027,-86.83860625623993,0.6721262949430162,0.7927285462558246,0.0283333333333333,0.0004945099547317,0.3138111111111111,0.1206022513128083,6.91000000000001,0.3115316998503709,-0.0377546479937045,56.0,6.0,1.8661652946694436,-0.21091161234696532,0.002844886680750891,0.16300000000000767
4208,07:07:35,35.05826494,136.88259787,4,0.61,38.55,315.443,45.443,1.7,4207.0,-52.62087600026405,-86.64304313499007,0.672824426643814,0.7931299719837831,0.0283333333333333,0.0004945099547317,0.3138111111111111,0.120305545339969,6.892999999999996,0.3115428881670103,-0.0376622130171318,56.0,7.0,2.176371021865237,-0.24609579442644192,0.0032463124087094286,0.1859999999999986
4209,07:07:36,35.05826715,136.88259995,4,0.61,38.7,315.464,45.464,1.6,4208.0,-52.3753008004735,-86.45384713958829,0.6754424205218056,0.793496491126702,0.0266666666666666,0.0004654211338651,0.3138111111111111,0.1180540706048963,6.763999999999995,0.3116268939897572,-0.0369606872106941,56.0,8.0,2.4836187708438073,-0.2873404810640985,0.0036128315516282816,0.20700000000000113
4210,07:07:37,35.05826932,136.88260211,4,0.61,38.64,315.491,45.491,1.7,4209.0,-52.13417040026116,-86.25737444912518,0.6743952229706089,0.7939677300247404,0.0283333333333333,0.0004945099547317,0.3138111111111111,0.1195725070541314,6.850999999999997,0.3115704123055858,-0.0374338300540745,56.0,9.0,2.792906129407945,-0.3203058846987017,0.0040840704496667435,0.2340000000000007
