,time (JST),latitude [deg],longitude [deg],GPS quality,SOG [knot],COG [deg],psi (raw) [deg],psi (original) [deg],r [deg/m],t (original) [s],p_x (original) [m],p_y (original) [m],COG [rad],psi (original) [rad],r [deg/s],r [rad/s],U [m/s],beta [rad],beta [deg],u [m/s],vm [m/s],code,t [s],p_x [m],p_y [m],psi [rad],psi [deg]
1545,17:43:31,35.01360967,136.835155,4,9.06,-159.94,201.4,201.4,8.7,1556.0,416.3488607997811,225.25251568364268,-2.79147960563973,3.51509311351658,0.145,0.0025307274153917,4.660866666666667,0.023387411976724,1.340000000000004,4.659592045225093,-0.1089956720218181,59.0,0.0,0.0,0.0,0.0,0.0
1546,17:43:32,35.01357033,136.83513683,4,9.06,-159.74,201.5,201.5,8.6,1557.0,411.9773999997011,223.5988974564628,-2.787988947135742,3.516838442768574,0.1433333333333333,0.0025016385945252,4.660866666666667,0.0216420827247298,1.2400000000000104,4.659775181500503,-0.1008629878419134,59.0,1.0,4.67344090298502,-0.05543369195902903,0.001745329251994221,0.09999999999999377
1547,17:43:33,35.01353117,136.83511833,4,9.067,-159.47,201.7,201.7,8.5,1558.0,407.6259407996968,221.9152445048251,-2.7832765581553573,3.5203291012725626,0.1416666666666666,0.0024725497736586,4.664467777777777,0.020420352248333,1.169999999999964,4.663495291529295,-0.095243455477294,59.0,2.0,9.33921817357162,-0.07560525951655439,0.005235987755982663,0.29999999999998134
1548,17:43:34,35.01349183,136.83509967,4,9.058,-159.22,201.8,201.8,8.6,1559.0,403.2544799996168,220.21702920027585,-2.778913235025372,3.5220744305245573,0.1433333333333333,0.0025016385945252,4.659837777777778,0.0178023583703425,1.0200000000000242,4.65909939015014,-0.0829517203409838,59.0,3.0,14.028931514738028,-0.0895165832203686,0.006981317007977328,0.4000000000000006
1549,17:43:35,35.01345267,136.835081,4,9.075,-159.04,202.0,202.0,8.5,1560.0,398.9030207996126,218.5179027249278,-2.7757716423717818,3.5255650890285457,0.1416666666666666,0.0024725497736586,4.668583333333332,0.0181514242207414,1.040000000000023,4.667814265567007,-0.0847367833170181,59.0,4.0,18.700354714898374,-0.09528143653547438,0.01047197551196577,0.5999999999999881
1550,17:43:36,35.0134135,136.83506183,4,9.094,-158.77,202.1,202.1,8.3,1561.0,394.5504503995164,216.7732698357932,-2.7710592533913974,3.52731041828054,0.1383333333333333,0.0024143721319254,4.678357777777777,0.0151843644923503,0.8699999999999828,4.6778184555351325,-0.0710351599472499,59.0,5.0,23.389416738296095,-0.059082729751851026,0.01221730476395999,0.6999999999999819
1551,17:43:37,35.01337433,136.83504267,4,9.087,-158.52,202.3,202.3,8.6,1562.0,390.19787999942025,215.02954622659763,-2.766695930261412,3.530801076784529,0.1433333333333333,0.0025016385945252,4.674756666666666,0.0143116998663541,0.8200000000000368,4.674277921898371,-0.066901430462166,59.0,6.0,28.07814698655359,-0.023730613343715845,0.015707963267948877,0.8999999999999949
1552,17:43:38,35.01333533,136.8350235,4,9.092,-158.38,202.4,202.4,8.5,1563.0,385.8641999993079,213.2849114454778,-2.764252469308619,3.532546406036523,0.1416666666666666,0.0024725497736586,4.67732888888889,0.0136135681655555,0.7799999999999885,4.676895472682786,-0.0636731688691057,59.0,7.0,32.74962168352388,0.019362523384703678,0.017453292519943098,0.9999999999999887
1553,17:43:39,35.01329633,136.835004,4,9.099,-158.15,202.6,202.6,8.1,1564.0,381.5305199999853,211.5102421063581,-2.7602382120290323,3.5360370645405115,0.1349999999999999,0.0023561944901923,4.680930000000001,0.0130899693899573,0.7499999999999902,4.680528973370998,-0.0612714805977725,59.0,8.0,37.43205529270088,0.09041951030391537,0.02094395102393154,1.1999999999999762
1554,17:43:40,35.01325733,136.83498433,4,9.127,-157.95,202.7,202.7,8.3,1565.0,377.19683999987296,209.72009999632925,-2.7567475535250434,3.5377823937925057,0.1383333333333333,0.0024143721319254,4.695334444444445,0.011344640137963,0.6499999999999964,4.6950323008948125,-0.0532657370247564,59.0,9.0,42.120134557507285,0.17588251027745017,0.02268928027592576,1.29999999999997
1555,17:43:41,35.01321833,136.83496467,4,9.135,-157.79,202.9,202.9,8.7,1566.0,372.8631599997607,207.9308671478338,-2.7539550267218527,3.5412730522964946,0.145,0.0025307274153917,4.69945,0.0120427718387607,0.689999999999994,4.6991092273704345,-0.0565930361620422,59.0,10.0,46.8078820538892,0.2604989370122013,0.026179938779914647,1.4999999999999831
1556,17:43:42,35.01317933,136.83494483,4,9.115,-157.67,203.0,203.0,9.1,1567.0,368.5294799996484,206.12525140255448,-2.751860631619459,3.543018381548489,0.1516666666666666,0.002647082698858,4.689161111111111,0.0116937059883619,0.6699999999999952,4.688840510348851,-0.0548324216893465,59.0,11.0,51.501607288967755,0.36036875507823396,0.027925268031908868,1.5999999999999768
1557,17:43:43,35.01314033,136.834925,4,9.144,-157.54,203.2,203.2,9.2,1568.0,364.1957999995361,204.3205449081329,-2.7495917035918667,3.546509040052477,0.1533333333333333,0.0026761715197246,4.70408,0.0129154364647569,0.7399999999999399,4.703687665191613,-0.0607535572973121,59.0,12.0,56.195000759517185,0.45939200984511075,0.031415926535896865,1.799999999999939
1558,17:43:44,35.01310133,136.834905,4,9.132,-157.43,203.4,203.4,9.3,1569.0,359.86211999942384,202.50036561491711,-2.747671841414673,3.5499996985564666,0.155,0.0027052603405912,4.6979066666666665,0.0144862327915526,0.8299999999999852,4.69741374522059,-0.0680525893980656,59.0,13.0,60.89403989513534,0.5728213039169745,0.03490658503988664,2.0000000000000027
1559,17:43:45,35.01306217,136.834885,4,9.122,-157.33,203.5,203.5,9.6,1570.0,355.5106607994196,200.68018565386964,-2.745926512162679,3.551745027808461,0.16,0.0027925268031909,4.692762222222222,0.0144862327915526,0.8299999999999852,4.692269840549958,-0.0679780683847082,59.0,14.0,65.60963270189056,0.6797640024927603,0.03665191429188086,2.0999999999999965
1560,17:43:46,35.01302333,136.834865,4,9.088,-157.25,203.7,203.7,9.8,1571.0,351.19475999998883,198.8600044282556,-2.7445302487610834,3.555235686312449,0.1633333333333333,0.002850704444924,4.675271111111111,0.0165806278939457,0.9499999999999776,4.674628469562602,-0.0775153787639705,59.0,15.0,70.29211911440008,0.7996823133080397,0.04014257279586886,2.2999999999999585
1561,17:43:47,35.01298433,136.83484483,4,9.136,-157.17,203.9,203.9,9.7,1572.0,346.8610799998765,197.02435058371776,-2.743133985359488,3.558726344816438,0.1616666666666666,0.0028216156240574,4.699964444444444,0.0186750229963388,1.0699999999999703,4.699144896726327,-0.0877668423318382,59.0,16.0,74.99680455454374,0.9275192783861499,0.04363323129985819,2.4999999999999973
1562,17:43:48,35.01294533,136.83482467,4,9.168,-157.1,204.0,204.0,9.4,1573.0,342.5273999997643,195.18960597561752,-2.741912254883092,3.5604716740684323,0.1566666666666666,0.0027343491614577,4.716426666666666,0.0191986217719379,1.1000000000000194,4.7155574864028456,-0.0905433292656952,59.0,17.0,79.70115823541971,1.0545096935911076,0.04537856055185241,2.5999999999999908
1563,17:43:49,35.01290633,136.83480433,4,9.14,-157.0,204.2,204.2,9.5,1574.0,338.193719999652,193.33847842428776,-2.740166925631097,3.563962332572421,0.1583333333333333,0.0027634379823243,4.702022222222223,0.0209439510239321,1.200000000000013,4.700990991047246,-0.098471723678654,59.0,18.0,84.41148967193939,1.1967535433708036,0.04886921905584085,2.7999999999999785
1564,17:43:50,35.01286733,136.83478383,4,9.137,-156.91,204.3,204.3,9.9,1575.0,333.8600399995397,191.4727881445017,-2.738596129304302,3.5657076618244155,0.165,0.0028797932657906,4.700478888888889,0.0211184839491316,1.2100000000000124,4.699430743698936,-0.0992596094460833,59.0,19.0,89.12713470998935,1.3525561061745819,0.050614548307835516,2.8999999999999977
1565,17:43:51,35.0128285,136.8347635,4,9.111,-156.82,204.5,204.5,10.0,1576.0,329.5452503994113,189.62256874163413,-2.7370253329775074,3.569198320328404,0.1666666666666666,0.0029088820866572,4.687103333333333,0.0230383461263252,1.3200000000000054,4.685859512229975,-0.1079735568938235,59.0,20.0,93.81954676744942,1.5008470874478697,0.05410520681182396,3.0999999999999854
1566,17:43:52,35.0127895,136.83474283,4,9.166,-156.73,204.7,204.7,10.3,1577.0,325.21157039929903,187.7414047211333,-2.7354545366507126,3.5726889788323923,0.1716666666666667,0.0029961485492569,4.715397777777778,0.024958208303518,1.4299999999999478,4.713929214700736,-0.1176756621503077,59.0,21.0,98.54083781425307,1.671056566537274,0.0575958653158124,3.2999999999999727
1567,17:43:53,35.01275067,136.834722,4,9.141,-156.57,204.9,204.9,10.7,1578.0,320.8967807999602,185.84567775503612,-2.732662009847522,3.576179637336381,0.1783333333333333,0.0031125038327232,4.702536666666667,0.0256563400043165,1.4699999999999964,4.70098903439697,-0.1206366437857792,59.0,22.0,103.2498545243123,1.8617176295093145,0.06108652381980084,3.4999999999999605
1568,17:43:54,35.01271183,136.83470117,4,9.171,-156.44,205.1,205.1,11.1,1579.0,316.58087999973986,183.94994989741627,-2.730393081819929,3.5796702958403697,0.185,0.0032288591161895,4.717969999999999,0.0268780704807125,1.5399999999999918,4.716265899474317,-0.1267946621735388,59.0,23.0,107.95990614971075,2.0519740711343317,0.06457718232378973,3.6999999999999735
1569,17:43:55,35.012673,136.83468,4,9.162,-156.28,205.3,205.3,11.2,1580.0,312.26609039961147,182.02327717299465,-2.727600555016738,3.5831609543443586,0.1866666666666666,0.003257947937056,4.7133400000000005,0.0275762021815102,1.5799999999999894,4.711547991106079,-0.1299595441061219,59.0,24.0,112.6802142492914,2.271447362082533,0.06806784082777861,3.8999999999999866
1570,17:43:56,35.01263417,136.83465883,4,9.192,-156.13,205.5,205.5,11.2,1581.0,307.9513007994831,180.09660353576405,-2.724982561138747,3.5866516128483474,0.1866666666666666,0.003257947937056,4.728773333333333,0.0284488668075082,1.6300000000000372,4.726859874361945,-0.1345100969868883,59.0,25.0,117.40052268193486,2.4909215029068434,0.0715584993317675,4.1
