,i_word,word,prob
0,12,15,0.09751069894716521
1,76,96,0.09686751440849592
2,46,5,0.08871183899385372
3,18,67,0.07776721016149513
4,3,83,0.06285781242904977
5,20,94,0.062102410967786535
6,61,75,0.060003949471874485
7,1,110,0.05736164814251595
8,0,49,0.055134746832384826
9,62,95,0.046108044348555706
10,58,3,0.038878285773257214
11,82,52,0.03188053633819797
12,71,66,0.03136747459251821
13,19,91,0.02756335285478852
14,63,116,0.0257747127436659
15,36,44,0.024526823803564454
16,5,1,0.019809153937802422
17,13,58,0.01599966761785162
18,8,34,0.01526832103647324
19,110,46,0.010261408597380547
20,95,8,0.00937883190054293
21,60,24,0.007980304251381498
22,119,51,0.00651499557913896
23,118,114,0.006077532214014086
24,123,111,0.004530542574676331
25,97,20,0.0043130069933882235
26,67,54,0.003634052449965459
27,94,40,0.003073128584305207
28,77,50,0.0013948713814225567
29,42,7,0.0010541747492856396
30,69,32,0.0008052018123908918
31,15,112,0.0007752946883720206
32,106,99,0.0006249444226555756
33,2,45,0.0005784306002354834
34,10,88,0.0005512731000744643
35,21,98,0.00047888013777940187
36,40,35,0.0004015760795275989
37,65,26,0.00039372390038102154
38,96,82,0.00028498676864824947
39,70,42,0.0002184586936050687
40,116,117,0.00015756027092096923
41,25,14,0.00012112510608673997
42,45,22,8.89983162267474e-05
43,73,107,6.630931327688507e-05
44,35,115,2.9079357204542072e-05
45,11,109,2.3688688654412457e-05
46,72,25,2.2254315725676042e-05
47,122,105,1.9165926546972288e-05
48,64,78,1.4105837121994773e-05
49,43,70,1.1535117886859434e-05
50,74,39,1.1396768501952527e-05
51,26,4,1.1092459786874987e-05
52,121,57,9.986832940983204e-06
53,47,2,9.746666980346805e-06
54,23,38,9.295396852831769e-06
55,54,60,8.827851537276175e-06
56,117,30,8.81389478495458e-06
57,124,41,8.795109512622374e-06
58,98,68,8.569294115870876e-06
59,68,106,8.45302730568816e-06
60,99,72,8.342586987670127e-06
61,112,29,8.340084659599584e-06
62,32,93,8.324224812502881e-06
63,75,85,8.322832032150125e-06
64,79,59,8.31571626775578e-06
65,59,37,8.284124834724018e-06
66,50,9,8.255832921589494e-06
67,111,113,8.248641218392878e-06
68,81,16,8.213170002893618e-06
69,41,81,8.21235025053127e-06
70,105,53,8.200738702894182e-06
71,16,84,8.193217956994503e-06
72,22,100,8.188901938724557e-06
73,80,43,8.18277860658146e-06
74,53,17,8.180385319101388e-06
75,39,33,8.178104500722898e-06
76,17,89,8.17614124192933e-06
77,48,55,8.174617832041605e-06
78,51,69,8.16867387599018e-06
79,14,104,8.165532358435269e-06
80,7,90,8.16400921530108e-06
81,38,97,8.163688567162316e-06
82,9,47,8.163508596703145e-06
83,104,65,8.162097934056671e-06
84,78,36,8.161650976460071e-06
85,100,19,8.160314298988399e-06
86,57,10,8.158475283483182e-06
87,101,102,8.158463869975975e-06
88,49,74,8.15565772155153e-06
89,66,21,8.155247977894804e-06
90,4,122,8.15339169421417e-06
91,103,103,8.153390735850838e-06
92,6,6,8.152751573987057e-06
93,56,92,8.152613562227485e-06
94,108,11,8.152440009583627e-06
95,87,77,8.152155659346614e-06
96,113,79,8.150851772941611e-06
97,83,12,8.150427999759862e-06
98,90,61,8.150125978999483e-06
99,24,13,8.149545872305947e-06
100,120,63,8.149391441994022e-06
101,92,101,8.148864020118451e-06
102,84,0,8.147882393662948e-06
103,107,28,8.147671309877523e-06
104,55,18,8.147401118123299e-06
105,33,119,8.147278820239934e-06
106,34,48,8.146544002820538e-06
107,30,27,8.146326835481488e-06
108,44,80,8.14626502068421e-06
109,86,71,8.146233456898793e-06
110,88,62,8.145645778640885e-06
111,114,31,8.144308116932124e-06
112,93,73,8.144059123830684e-06
113,37,76,8.143581242570987e-06
114,28,64,8.14126970616373e-06
115,89,118,8.141268027440625e-06
116,91,23,8.14078554537774e-06
117,52,56,8.14041571798677e-06
118,102,120,8.140240214929049e-06
119,109,87,8.139607380097719e-06
120,115,121,8.139566215883697e-06
121,31,124,8.139521610061324e-06
122,29,86,8.13856908711749e-06
123,27,108,8.138335737295062e-06
124,85,123,8.13707001410908e-06
