,i_word,word,prob
0,54,60,0.1627915920563576
1,14,104,0.08454574378677006
2,10,88,0.07708967920963987
3,11,109,0.06407345977070117
4,50,9,0.06129478800944789
5,53,17,0.0552151816593907
6,7,90,0.05199580817265482
7,66,21,0.048543049690571695
8,41,81,0.04610547578736695
9,69,32,0.04233017646403897
10,73,107,0.04154655144146132
11,52,56,0.035595311942746566
12,79,59,0.029260014001792792
13,44,80,0.026870627999371486
14,55,18,0.023931313961132013
15,39,33,0.021383522014145583
16,70,42,0.018538458760581442
17,74,39,0.01829906337897445
18,65,26,0.017293663035119766
19,75,85,0.01627229399449961
20,6,6,0.013375226785135483
21,42,7,0.010745715742780658
22,49,74,0.010021831244325879
23,5,1,0.005936493775530602
24,17,89,0.005722387514630385
25,15,112,0.0036681038024234357
26,56,92,0.002688967658548326
27,4,122,0.0016087247032850085
28,12,15,0.001038472009521082
29,13,58,0.0007341870536086899
30,76,96,0.0003200825786080047
31,71,66,0.00014233761325070022
32,16,84,0.00010299270969982809
33,64,78,9.58252623316043e-05
34,105,53,7.773231828321529e-05
35,99,72,5.165109894595768e-05
36,51,69,4.110461016250356e-05
37,72,25,3.139747168301205e-05
38,68,106,2.942918327447054e-05
39,30,27,2.8501914288436878e-05
40,26,4,2.3617178700124384e-05
41,80,43,1.5840761547776616e-05
42,43,70,1.277335013671831e-05
43,77,50,1.1797823239371936e-05
44,40,35,1.0830991545571775e-05
45,107,28,9.742033687463505e-06
46,21,98,8.931869860875707e-06
47,111,113,8.448202115406259e-06
48,8,34,8.16003535473732e-06
49,25,14,7.828144486002132e-06
50,27,108,7.696974294243964e-06
51,24,13,7.3117985983179535e-06
52,29,86,7.2155121346132755e-06
53,22,100,7.142950500698271e-06
54,81,16,7.125581717784353e-06
55,23,38,6.853819098154732e-06
56,38,97,6.6357389332503e-06
57,110,46,6.5837871875818275e-06
58,2,45,6.567296030987703e-06
59,118,114,6.472004127861707e-06
60,84,0,6.385443676249461e-06
61,9,47,6.235098889132743e-06
62,106,99,5.92005145555936e-06
63,113,79,5.917735071751887e-06
64,115,121,5.91359476987265e-06
65,116,117,5.908840270114654e-06
66,93,73,5.875830286355051e-06
67,1,110,5.86491439734123e-06
68,3,83,5.849984423680298e-06
69,112,29,5.8258008077294e-06
70,47,2,5.8066145454417e-06
71,18,67,5.78836908063514e-06
72,124,41,5.784897686915739e-06
73,119,51,5.78137990418973e-06
74,82,52,5.780048315766952e-06
75,78,36,5.768661529732504e-06
76,32,93,5.763313625166786e-06
77,45,22,5.7623097545657235e-06
78,67,54,5.757052067587706e-06
79,35,115,5.755525892135351e-06
80,86,71,5.753083642466925e-06
81,19,91,5.748601395156521e-06
82,48,55,5.7474957270958866e-06
83,117,30,5.743381240036126e-06
84,63,116,5.743228380757795e-06
85,20,94,5.743194417267168e-06
86,104,65,5.740620442946855e-06
87,46,5,5.740545025652837e-06
88,31,124,5.740312148406846e-06
89,58,3,5.740189364294767e-06
90,87,77,5.738011048576059e-06
91,101,102,5.737282643923385e-06
92,108,11,5.736677766112013e-06
93,122,105,5.736540464418164e-06
94,28,64,5.736318608817708e-06
95,62,95,5.736142818768556e-06
96,109,87,5.735464305825103e-06
97,97,20,5.734817816089046e-06
98,85,123,5.734078182400899e-06
99,123,111,5.733954531595347e-06
100,95,8,5.733503186088095e-06
101,120,63,5.7324354482408515e-06
102,0,49,5.732396179693087e-06
103,94,40,5.732121526279544e-06
104,96,82,5.73210417559385e-06
105,36,44,5.7313279096234594e-06
106,33,119,5.731258480452463e-06
107,92,101,5.7309898467258976e-06
108,37,76,5.730859130665791e-06
109,102,120,5.730607117081298e-06
110,83,12,5.7305354245556775e-06
111,103,103,5.730418100975309e-06
112,121,57,5.7298371146165505e-06
113,98,68,5.7297351452575966e-06
114,59,37,5.72890539578404e-06
115,88,62,5.728870613617538e-06
116,89,118,5.7287203953079484e-06
117,57,10,5.728509913239606e-06
118,34,48,5.728247550439536e-06
119,61,75,5.72823032713848e-06
120,114,31,5.7272010124412625e-06
121,91,23,5.726808254045958e-06
122,60,24,5.726688452098041e-06
123,90,61,5.724402837916884e-06
124,100,19,5.723839661287235e-06
