,i_word,word,prob
0,48,55,0.11587378112428452
1,64,78,0.0771813813062483
2,27,108,0.07558110068640718
3,26,4,0.06489419167211562
4,68,106,0.06151754149702642
5,22,100,0.0543499550352252
6,2,45,0.049563711535314
7,24,13,0.04242328848325862
8,28,64,0.03824684140578206
9,43,70,0.036807521986265114
10,114,31,0.030788252861146535
11,103,103,0.028763034681650656
12,102,120,0.027983014138200653
13,104,65,0.02664751459668675
14,23,38,0.025531756489342732
15,109,87,0.023233043610378652
16,113,79,0.02183153842729102
17,112,29,0.021018071003093334
18,89,118,0.020687961169562643
19,101,102,0.018732097679310847
20,117,30,0.016995730438827458
21,105,53,0.015505297019056317
22,37,76,0.013708730932872459
23,108,11,0.011868757269862208
24,93,73,0.01164479943580627
25,120,63,0.010939515648657843
26,115,121,0.01076359412161514
27,124,41,0.010022527473688756
28,111,113,0.009417924312131004
29,94,40,0.008107698143201865
30,33,119,0.006524090412148109
31,121,57,0.005587374771809593
32,80,43,0.001420366960365461
33,29,86,0.0012607887182172403
34,25,14,0.0011119642813827175
35,44,80,0.0006957528750945176
36,30,27,0.0003319083659402553
37,47,2,0.00031735434263815634
38,34,48,0.000237833603221436
39,88,62,0.00021831130329667952
40,4,122,0.00017688086261831985
41,107,28,0.0001687128615979228
42,49,74,0.00015144605363000765
43,1,110,0.00011438492973312703
44,31,124,0.0001072772853560688
45,98,68,8.418601380151628e-05
46,100,19,3.5034654687430215e-05
47,67,54,3.3620515051220586e-05
48,5,1,1.9406433835531878e-05
49,35,115,1.912362777860128e-05
50,83,12,1.8827599927424576e-05
51,12,15,1.8585519055930113e-05
52,96,82,1.7236240189515042e-05
53,3,83,1.689032620194185e-05
54,70,42,1.6708799329757013e-05
55,110,46,1.4336410993724713e-05
56,32,93,1.2692497791237514e-05
57,0,49,1.219971333246749e-05
58,73,107,1.1368820406917503e-05
59,9,47,1.091224646627705e-05
60,36,44,1.0092559929518625e-05
61,72,25,1.0072976216192992e-05
62,66,21,1.0013453473690197e-05
63,123,111,9.933467364930166e-06
64,69,32,9.736666457931903e-06
65,41,81,9.690559342146128e-06
66,11,109,9.677157453849667e-06
67,81,16,9.603210541945145e-06
68,92,101,9.515040659121362e-06
69,65,26,9.493887958906914e-06
70,42,7,9.422784286662941e-06
71,77,50,9.346313835126994e-06
72,7,90,9.331171070882279e-06
73,76,96,9.327318795714118e-06
74,122,105,9.31513892851503e-06
75,21,98,9.299439015377117e-06
76,39,33,9.29279879228329e-06
77,63,116,9.287735796124165e-06
78,15,112,9.286388575988435e-06
79,18,67,9.280190143205159e-06
80,46,5,9.277858446068868e-06
81,79,59,9.27164829499404e-06
82,90,61,9.262556201998708e-06
83,87,77,9.255122666551547e-06
84,71,66,9.235563508248561e-06
85,91,23,9.234429548089111e-06
86,19,91,9.213868890695892e-06
87,45,22,9.212277606948348e-06
88,52,56,9.207091915187696e-06
89,82,52,9.199047728286932e-06
90,38,97,9.195678020279331e-06
91,78,36,9.188917450778301e-06
92,8,34,9.188710131568094e-06
93,17,89,9.185990050879481e-06
94,50,9,9.18566135793682e-06
95,75,85,9.182486429847603e-06
96,16,84,9.18084539717613e-06
97,10,88,9.180331819897334e-06
98,20,94,9.177293378198255e-06
99,53,17,9.176368809644637e-06
100,55,18,9.17402449698878e-06
101,95,8,9.170161626708296e-06
102,85,123,9.167738655464679e-06
103,86,71,9.166899100311731e-06
104,54,60,9.165833450992288e-06
105,40,35,9.165417047792308e-06
106,6,6,9.164177821198188e-06
107,119,51,9.163088829646254e-06
108,58,3,9.162640085487185e-06
109,118,114,9.162612460317737e-06
110,99,72,9.162328585291745e-06
111,61,75,9.16218775332072e-06
112,13,58,9.16210085108642e-06
113,97,20,9.161937286847844e-06
114,51,69,9.161801172490105e-06
115,62,95,9.16018826619499e-06
116,56,92,9.159873760053465e-06
117,116,117,9.157439636772466e-06
118,74,39,9.155756873803643e-06
119,14,104,9.154988056091911e-06
120,60,24,9.153703436354959e-06
121,59,37,9.15239801269985e-06
122,106,99,9.152329222756697e-06
123,84,0,9.151996228485314e-06
124,57,10,9.147140781606922e-06
