,time (JST),latitude [deg],longitude [deg],GPS quality,SOG [knot],COG [deg],psi (raw) [deg],psi [deg],r [deg/m],t [s],p_x [m],p_y [m],COG [rad],psi [rad],r [deg/s],r [rad/s],U [m/s],beta [rad],beta [deg],u [m/s],vm [m/s],code
1,06:59:07,34.97600889,136.78524505,2,0.51,5.5,313.945,43.945,5.5,0.0,-2864.2935695998576,-6175.030979682082,0.0959931088596881,0.7669849397889081,0.0916666666666666,0.0015998851476614,0.2623666666666666,0.67099183092922,38.445,0.2054869815442847,-0.1631299120136971,28.0
2,06:59:08,34.97601113,136.78524525,2,0.5,4.84,314.019,44.019,5.1,1.0,-2864.044660799791,-6175.012687903964,0.0844739357965255,0.7682764834353839,0.0849999999999999,0.0014835298641951,0.2572222222222222,0.6838025476388584,39.179,0.199392515836606,-0.1624989114833915,28.0
3,06:59:09,34.9760133,136.7852454,2,0.49,4.27,314.095,44.095,4.9,2.0,-2863.8035304003624,-6174.998950603575,0.0745255590601578,0.7696029336668996,0.0816666666666666,0.001425352222462,0.2520777777777778,0.6950773746067417,39.825,0.1935967794363149,-0.16144191847618,28.0
4,06:59:10,34.97601548,136.78524567,2,0.49,4.96,314.181,44.181,4.9,3.0,-2863.561288800064,-6174.974288537358,0.0865683308989187,0.7711039168236147,0.0816666666666666,0.001425352222462,0.2520777777777778,0.684535585924696,39.221,0.1952878774654044,-0.1593921295561355,28.0
5,06:59:11,34.97601775,136.78524597,2,0.49,5.39,314.273,44.273,5.2,4.0,-2863.3090464005118,-6174.946891981281,0.0940732466824943,0.7727096197354496,0.0866666666666666,0.0015126186850617,0.2520777777777778,0.6786363730529552,38.883,0.1962247620451778,-0.1582373180058865,28.0
6,06:59:12,34.97602004,136.78524633,2,0.49,6.24,314.369,44.369,5.3,5.0,-2863.0545815999853,-6174.914032485979,0.1089085453244461,0.7743851358173641,0.0883333333333333,0.0015417075059283,0.2520777777777778,0.665476590492918,38.129000000000005,0.1982900797946078,-0.1556414157749497,28.0
7,06:59:13,34.97602218,136.78524672,2,0.48,7.26,314.471,44.471,5.6,6.0,-2862.8167848000485,-6174.878447551894,0.1267109036947883,0.7761653716543983,0.0933333333333333,0.001628973968528,0.2469333333333333,0.6494544679596099,37.211,0.1966611214208322,-0.1493334337401098,28.0
8,06:59:14,34.97602418,136.78524703,2,0.47,7.0,314.569,44.569,5.8,7.0,-2862.59454479982,-6174.850150811593,0.122173047639603,0.7778757943213528,0.0966666666666666,0.0016871516102611,0.2417888888888888,0.6557027466817498,37.56900000000001,0.1916466239229584,-0.1474226520215111,28.0
9,06:59:15,34.97602621,136.7852473,2,0.46,6.74,314.638,44.638,5.3,8.0,-2862.368971200105,-6174.825494411902,0.1176351915844178,0.7790800715052288,0.0883333333333333,0.0015417075059283,0.2366444444444444,0.661444879920811,37.898,0.1867374390337208,-0.1453606616301231,28.0
10,06:59:16,34.97602831,136.78524759,2,0.46,6.5,314.705,44.705,4.9,9.0,-2862.135619200531,-6174.799014632292,0.1134464013796314,0.780249442104065,0.0816666666666666,0.001425352222462,0.2366444444444444,0.6668030407244335,38.205,0.1859558963620467,-0.1463591394297175,28.0
